# @name org.openrewrite.java.spring.table.SpringComponents
# @instanceName Spring component definitions
# @group 
repositoryOrigin,repositoryPath,repositoryBranch,sourcePath,componentType,org1,org2
github.com,finos/spring-bot,spring-bot-master,libs/chat-workflow/src/main/java/org/finos/springbot/workflow/form/ErrorHelp.java,org.finos.springbot.workflow.form.ErrorHelp,Default,ALL
github.com,finos/spring-bot,spring-bot-master,tools/rss-bot/src/main/java/org/finos/springbot/tool/rssbot/alerter/TimedAlerter.java,org.finos.springbot.tool.rssbot.alerter.TimedAlerter,Default,ALL
github.com,finos/spring-bot,spring-bot-master,demos/demo-bot/src/main/java/org/finos/springbot/example/demo/EchoConsumer.java,org.finos.springbot.example.demo.EchoConsumer,Default,ALL
github.com,finos/spring-bot,spring-bot-master,demos/demo-bot/src/main/java/org/finos/springbot/example/demo/StartUpMessageBean.java,org.finos.springbot.example.demo.StartUpMessageBean,Default,ALL
github.com,finos/symphony-bdk-java,main,symphony-bdk-spring/symphony-bdk-core-spring-boot-starter/src/test/java/com/symphony/bdk/spring/events/RealTimeEventsAsyncTestListener.java,com.symphony.bdk.spring.events.RealTimeEventsAsyncTestListener,Default,ALL
github.com,finos/symphony-bdk-java,main,symphony-bdk-spring/symphony-bdk-core-spring-boot-starter/src/test/java/com/symphony/bdk/spring/events/RealTimeEventsTestListener.java,com.symphony.bdk.spring.events.RealTimeEventsTestListener,Default,ALL
github.com,finos/symphony-bdk-java,main,symphony-bdk-spring/symphony-bdk-core-spring-boot-starter/src/test/java/com/symphony/bdk/spring/extension/TestExtension.java,com.symphony.bdk.spring.extension.TestExtension,Default,ALL
github.com,finos/symphony-bdk-java,main,symphony-bdk-spring/symphony-bdk-core-spring-boot-starter/src/test/java/com/symphony/bdk/spring/slash/TestFormReplyActivity.java,com.symphony.bdk.spring.slash.TestFormReplyActivity,Default,ALL
github.com,finos/symphony-bdk-java,main,symphony-bdk-spring/symphony-bdk-core-spring-boot-starter/src/test/java/com/symphony/bdk/spring/slash/TestSlashCommand.java,com.symphony.bdk.spring.slash.TestSlashCommand,Default,ALL
github.com,finos/symphony-bdk-java,main,symphony-bdk-examples/bdk-spring-boot-example/src/main/java/com/symphony/bdk/examples/spring/AsyncActivity.java,com.symphony.bdk.examples.spring.AsyncActivity,Default,ALL
github.com,finos/symphony-bdk-java,main,symphony-bdk-examples/bdk-spring-boot-example/src/main/java/com/symphony/bdk/examples/spring/EchoActivity.java,com.symphony.bdk.examples.spring.EchoActivity,Default,ALL
github.com,finos/symphony-bdk-java,main,symphony-bdk-examples/bdk-spring-boot-example/src/main/java/com/symphony/bdk/examples/spring/GifFormActivity.java,com.symphony.bdk.examples.spring.GifFormActivity,Default,ALL
github.com,finos/symphony-bdk-java,main,symphony-bdk-examples/bdk-spring-boot-example/src/main/java/com/symphony/bdk/examples/spring/RealTimeEventsDemo.java,com.symphony.bdk.examples.spring.RealTimeEventsDemo,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/bootstrap/BootStrapWorkflowExpirationJobs.java,com.symphony.bdk.workflow.bootstrap.BootStrapWorkflowExpirationJobs,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/configuration/VersionLogger.java,com.symphony.bdk.workflow.configuration.VersionLogger,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/configuration/WorkflowDeployer.java,com.symphony.bdk.workflow.configuration.WorkflowDeployer,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/configuration/WorkflowMetricsRegistry.java,com.symphony.bdk.workflow.configuration.WorkflowMetricsRegistry,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/converter/DefaultObjectConverter.java,com.symphony.bdk.workflow.converter.DefaultObjectConverter,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/SpringBdkGateway.java,com.symphony.bdk.workflow.engine.SpringBdkGateway,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/camunda/CamundaEngine.java,com.symphony.bdk.workflow.engine.camunda.CamundaEngine,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/camunda/CamundaExecutor.java,com.symphony.bdk.workflow.engine.camunda.CamundaExecutor,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/camunda/CamundaMetrics.java,com.symphony.bdk.workflow.engine.camunda.CamundaMetrics,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/camunda/WorkflowDirectedGraphService.java,com.symphony.bdk.workflow.engine.camunda.WorkflowDirectedGraphService,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/camunda/audit/ScriptTaskAuditListener.java,com.symphony.bdk.workflow.engine.camunda.audit.ScriptTaskAuditListener,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/camunda/bpmn/CamundaBpmnBuilder.java,com.symphony.bdk.workflow.engine.camunda.bpmn.CamundaBpmnBuilder,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/camunda/bpmn/builder/ActivityCompleteNodeBuilder.java,com.symphony.bdk.workflow.engine.camunda.bpmn.builder.ActivityCompleteNodeBuilder,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/camunda/bpmn/builder/ActivityExpiredNodeBuilder.java,com.symphony.bdk.workflow.engine.camunda.bpmn.builder.ActivityExpiredNodeBuilder,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/camunda/bpmn/builder/ActivityFailedNodeBuilder.java,com.symphony.bdk.workflow.engine.camunda.bpmn.builder.ActivityFailedNodeBuilder,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/camunda/bpmn/builder/ActivityNodeBuilder.java,com.symphony.bdk.workflow.engine.camunda.bpmn.builder.ActivityNodeBuilder,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/camunda/bpmn/builder/FormRepliedNodeBuilder.java,com.symphony.bdk.workflow.engine.camunda.bpmn.builder.FormRepliedNodeBuilder,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/camunda/bpmn/builder/JoinActivityNodeBuilder.java,com.symphony.bdk.workflow.engine.camunda.bpmn.builder.JoinActivityNodeBuilder,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/camunda/bpmn/builder/SignalNodeBuilder.java,com.symphony.bdk.workflow.engine.camunda.bpmn.builder.SignalNodeBuilder,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/camunda/bpmn/builder/TimerFiredNodeBuilder.java,com.symphony.bdk.workflow.engine.camunda.bpmn.builder.TimerFiredNodeBuilder,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/camunda/bpmn/builder/WorkflowNodeBpmnBuilderRegistry.java,com.symphony.bdk.workflow.engine.camunda.bpmn.builder.WorkflowNodeBpmnBuilderRegistry,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/camunda/monitoring/converter/ActivityDomainConverter.java,com.symphony.bdk.workflow.engine.camunda.monitoring.converter.ActivityDomainConverter,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/camunda/monitoring/converter/VariableDomainConverter.java,com.symphony.bdk.workflow.engine.camunda.monitoring.converter.VariableDomainConverter,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/camunda/monitoring/converter/WorkflowDomainConverter.java,com.symphony.bdk.workflow.engine.camunda.monitoring.converter.WorkflowDomainConverter,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/engine/camunda/monitoring/converter/WorkflowInstDomainConverter.java,com.symphony.bdk.workflow.engine.camunda.monitoring.converter.WorkflowInstDomainConverter,Default,ALL
