# @name io.moderne.recipe.releasemetro.table.ProjectCoordinates
# @instanceName Maven or Gradle Artifact coordinates IDs
# @group 
repositoryOrigin,repositoryPath,repositoryBranch,groupId,artifactId,org1,org2
github.com,finos/symphony-wdk,master,org.finos.symphony.wdk,studio,Default,ALL
github.com,Netflix/photon,master,com.netflix.photon,Photon,Default,ALL
github.com,Netflix/ribbon,master,com.netflix.ribbon,ribbon-archaius,Default,ALL
github.com,Netflix/ribbon,master,com.netflix.ribbon,ribbon-examples,Default,ALL
github.com,Netflix/ribbon,master,com.netflix.ribbon,ribbon-loadbalancer,Default,ALL
github.com,Netflix/ribbon,master,com.netflix,ribbon,Default,ALL
github.com,Netflix/ribbon,master,com.netflix.ribbon,ribbon,Default,ALL
github.com,Netflix/ribbon,master,com.netflix.ribbon,ribbon-evcache,Default,ALL
github.com,Netflix/ribbon,master,com.netflix.ribbon,ribbon-httpclient,Default,ALL
github.com,Netflix/ribbon,master,com.netflix.ribbon,ribbon-transport,Default,ALL
github.com,Netflix/ribbon,master,com.netflix.ribbon,ribbon-guice,Default,ALL
github.com,Netflix/ribbon,master,com.netflix.ribbon,ribbon-eureka,Default,ALL
github.com,Netflix/ribbon,master,com.netflix.ribbon,ribbon-core,Default,ALL
github.com,Netflix/ribbon,master,com.netflix.ribbon,ribbon-test,Default,ALL
github.com,spring-projects/spring-data-commons,main,org.springframework.data,spring-data-commons,Default,ALL
github.com,spring-projects/spring-petclinic,main,org.springframework.samples,spring-petclinic,Default,ALL
