# @name org.openrewrite.java.migrate.table.JavaVersionPerSourceSet
# @instanceName Java versions by source set
# @group 
repositoryOrigin,repositoryPath,repositoryBranch,projectName,sourceSetName,createdBy,vmVendor,sourceCompatibility,majorVersionSourceCompatibility,targetCompatibility,org1,org2
github.com,finos/symphony-bdk-java,main,symphony-group-extension,test,21.0.10+7-LTS,Eclipse Adoptium,17,17,17,Default,ALL
github.com,finos/symphony-bdk-java,main,symphony-bdk-http-api,main,21.0.10+7-LTS,Eclipse Adoptium,17,17,17,Default,ALL
github.com,finos/symphony-bdk-java,main,symphony-bdk-http-api,test,21.0.10+7-LTS,Eclipse Adoptium,17,17,17,Default,ALL
github.com,finos/symphony-bdk-java,main,symphony-bdk-config,main,21.0.10+7-LTS,Eclipse Adoptium,17,17,17,Default,ALL
github.com,finos/symphony-bdk-java,main,symphony-bdk-config,test,21.0.10+7-LTS,Eclipse Adoptium,17,17,17,Default,ALL
github.com,finos/symphony-bdk-java,main,symphony-bdk-app-spring-boot-starter,main,21.0.10+7-LTS,Eclipse Adoptium,17,17,17,Default,ALL
github.com,finos/symphony-bdk-java,main,symphony-bdk-app-spring-boot-starter,test,21.0.10+7-LTS,Eclipse Adoptium,17,17,17,Default,ALL
github.com,finos/symphony-bdk-java,main,symphony-bdk-core,main,21.0.10+7-LTS,Eclipse Adoptium,17,17,17,Default,ALL
github.com,finos/symphony-bdk-java,main,symphony-bdk-core,test,21.0.10+7-LTS,Eclipse Adoptium,17,17,17,Default,ALL
github.com,finos/symphony-bdk-java,main,bdk-spring-boot-example,main,21.0.10+7-LTS,Eclipse Adoptium,17,17,17,Default,ALL
github.com,finos/symphony-bdk-java,main,bdk-spring-boot-example,test,21.0.10+7-LTS,Eclipse Adoptium,17,17,17,Default,ALL
github.com,finos/symphony-bdk-java,main,symphony-bdk-template-api,main,21.0.10+7-LTS,Eclipse Adoptium,17,17,17,Default,ALL
github.com,finos/symphony-bdk-java,main,symphony-bdk-template-api,test,21.0.10+7-LTS,Eclipse Adoptium,17,17,17,Default,ALL
github.com,finos/symphony-bdk-java,main,symphony-bdk-extension-api,main,21.0.10+7-LTS,Eclipse Adoptium,17,17,17,Default,ALL
github.com,finos/symphony-bdk-java,main,symphony-bdk-http-jersey2,main,21.0.10+7-LTS,Eclipse Adoptium,17,17,17,Default,ALL
github.com,finos/symphony-bdk-java,main,symphony-bdk-http-jersey2,test,21.0.10+7-LTS,Eclipse Adoptium,17,17,17,Default,ALL
github.com,finos/symphony-bdk-java,main,symphony-bdk-template-handlebars,main,21.0.10+7-LTS,Eclipse Adoptium,17,17,17,Default,ALL
github.com,finos/symphony-bdk-java,main,symphony-bdk-template-handlebars,test,21.0.10+7-LTS,Eclipse Adoptium,17,17,17,Default,ALL
github.com,finos/symphony-wdk,master,workflow-language,main,21.0.10+7-LTS,Eclipse Adoptium,17,17,17,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app,main,21.0.10+7-LTS,Eclipse Adoptium,17,17,17,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app,test,21.0.10+7-LTS,Eclipse Adoptium,17,17,17,Default,ALL
github.com,finos/symphony-wdk,master,custom-activity-example,main,21.0.10+7-LTS,Eclipse Adoptium,17,17,17,Default,ALL
github.com,finos/symphony-wdk,master,studio,main,21.0.10+7-LTS,Eclipse Adoptium,17,17,17,Default,ALL
github.com,Netflix/photon,master,Photon,main,21.0.10+7-LTS,Eclipse Adoptium,1.8,8,1.8,Default,ALL
github.com,Netflix/photon,master,Photon,test,21.0.10+7-LTS,Eclipse Adoptium,1.8,8,1.8,Default,ALL
github.com,Netflix/ribbon,master,ribbon-archaius,main,21.0.10+7-LTS,Eclipse Adoptium,1.8,8,1.8,Default,ALL
