# @name org.openrewrite.table.LanguageCompositionPerFile
# @instanceName Per-file language composition report
# @group 
repositoryOrigin,repositoryPath,repositoryBranch,sourcePath,language,sourceFileType,linesOfText,hasParseFailures,org1,org2
github.com,apache/maven-doxia,master,pom.xml,Xml,org.openrewrite.xml.tree.Xml$Document,373,false,Default,ALL
github.com,apache/maven-doxia,master,doxia-sink-api/pom.xml,Xml,org.openrewrite.xml.tree.Xml$Document,33,false,Default,ALL
github.com,apache/maven-doxia,master,doxia-sink-api/src/main/java/org/apache/maven/doxia/sink/EmptyLocator.java,Java,org.openrewrite.java.tree.J$CompilationUnit,43,false,Default,ALL
github.com,apache/maven-doxia,master,doxia-sink-api/src/main/java/org/apache/maven/doxia/sink/Locator.java,Java,org.openrewrite.java.tree.J$CompilationUnit,47,false,Default,ALL
github.com,apache/maven-doxia,master,doxia-sink-api/src/main/java/org/apache/maven/doxia/sink/Sink.java,Java,org.openrewrite.java.tree.J$CompilationUnit,1815,false,Default,ALL
github.com,apache/maven-doxia,master,doxia-sink-api/src/main/java/org/apache/maven/doxia/sink/SinkEventAttributes.java,Java,org.openrewrite.java.tree.J$CompilationUnit,413,false,Default,ALL
github.com,apache/maven-doxia,master,doxia-sink-api/src/main/java/org/apache/maven/doxia/sink/SinkFactory.java,Java,org.openrewrite.java.tree.J$CompilationUnit,76,false,Default,ALL
github.com,apache/maven-doxia,master,doxia-sink-api/src/main/java/org/apache/maven/doxia/sink/package-info.java,Java,org.openrewrite.java.tree.J$CompilationUnit,75,false,Default,ALL
github.com,apache/maven-doxia,master,doxia-test-docs/pom.xml,Xml,org.openrewrite.xml.tree.Xml$Document,32,false,Default,ALL
github.com,apache/maven-doxia,master,doxia-test-docs/src/main/resources/doxia-site/fml/faq.fml,Plain text,org.openrewrite.text.PlainText,100,false,Default,ALL
github.com,apache/maven-doxia,master,doxia-test-docs/src/main/resources/maven-ant-plugin/fml/faq.fml,Plain text,org.openrewrite.text.PlainText,41,false,Default,ALL
github.com,apache/maven-doxia,master,doxia-test-docs/src/main/resources/maven-antrun-plugin/fml/faq.fml,Plain text,org.openrewrite.text.PlainText,37,false,Default,ALL
github.com,apache/maven-doxia,master,doxia-test-docs/src/main/resources/maven-assembly-plugin/fml/faq.fml,Plain text,org.openrewrite.text.PlainText,68,false,Default,ALL
github.com,apache/maven-doxia,master,doxia-test-docs/src/main/resources/maven-changelog-plugin/fml/faq.fml,Plain text,org.openrewrite.text.PlainText,180,false,Default,ALL
github.com,apache/maven-doxia,master,doxia-test-docs/src/main/resources/maven-changes-plugin/fml/faq.fml,Plain text,org.openrewrite.text.PlainText,65,false,Default,ALL
github.com,apache/maven-doxia,master,doxia-test-docs/src/main/resources/maven-checkstyle-plugin/fml/faq.fml,Plain text,org.openrewrite.text.PlainText,54,false,Default,ALL
github.com,apache/maven-doxia,master,doxia-test-docs/src/main/resources/maven-clean-plugin/fml/faq.fml,Plain text,org.openrewrite.text.PlainText,56,false,Default,ALL
github.com,apache/maven-doxia,master,doxia-test-docs/src/main/resources/maven-compiler-plugin/fml/faq.fml,Plain text,org.openrewrite.text.PlainText,51,false,Default,ALL
github.com,apache/maven-doxia,master,doxia-test-docs/src/main/resources/maven-dependency-plugin/fml/faq.fml,Plain text,org.openrewrite.text.PlainText,74,false,Default,ALL
github.com,apache/maven-doxia,master,doxia-test-docs/src/main/resources/maven-deploy-plugin/fml/faq.fml,Plain text,org.openrewrite.text.PlainText,75,false,Default,ALL
github.com,apache/maven-doxia,master,doxia-test-docs/src/main/resources/maven-doap-plugin/fml/faq.fml,Plain text,org.openrewrite.text.PlainText,62,false,Default,ALL
github.com,apache/maven-doxia,master,doxia-test-docs/src/main/resources/maven-docck-plugin/fml/faq.fml,Plain text,org.openrewrite.text.PlainText,49,false,Default,ALL
github.com,apache/maven-doxia,master,doxia-test-docs/src/main/resources/maven-ear-plugin/fml/faq.fml,Plain text,org.openrewrite.text.PlainText,47,false,Default,ALL
github.com,apache/maven-doxia,master,doxia-test-docs/src/main/resources/maven-eclipse-plugin/fml/faq.fml,Plain text,org.openrewrite.text.PlainText,49,false,Default,ALL
github.com,apache/maven-doxia,master,doxia-test-docs/src/main/resources/maven-ejb-plugin/fml/faq.fml,Plain text,org.openrewrite.text.PlainText,63,false,Default,ALL
github.com,apache/maven-doxia,master,doxia-test-docs/src/main/resources/maven-gpg-plugin/fml/faq.fml,Plain text,org.openrewrite.text.PlainText,33,false,Default,ALL
github.com,apache/maven-doxia,master,doxia-test-docs/src/main/resources/maven-help-plugin/fml/faq.fml,Plain text,org.openrewrite.text.PlainText,41,false,Default,ALL
github.com,apache/maven-doxia,master,doxia-test-docs/src/main/resources/maven-idea-plugin/fml/faq.fml,Plain text,org.openrewrite.text.PlainText,47,false,Default,ALL
github.com,apache/maven-doxia,master,doxia-test-docs/src/main/resources/maven-install-plugin/fml/faq.fml,Plain text,org.openrewrite.text.PlainText,34,false,Default,ALL
github.com,apache/maven-doxia,master,doxia-test-docs/src/main/resources/maven-invoker-plugin/fml/faq.fml,Plain text,org.openrewrite.text.PlainText,73,false,Default,ALL
