# @name org.openrewrite.java.dependencies.table.DependencyListReport
# @instanceName Dependency report
# @group 
repositoryOrigin,repositoryPath,repositoryBranch,buildTool,groupId,artifactId,version,dependencyGroupId,dependencyArtifactId,dependencyVersion,direct,resolutionFailure,org1,org2
github.com,apache/maven-doxia,master,Maven,org.apache.maven.doxia,doxia-module-markdown,2.1.1-SNAPSHOT,com.vladsch.flexmark,flexmark-util-misc,0.62.2,true,,Default,ALL
github.com,apache/maven-doxia,master,Maven,org.apache.maven.doxia,doxia-module-markdown,2.1.1-SNAPSHOT,com.vladsch.flexmark,flexmark-util-sequence,0.62.2,true,,Default,ALL
github.com,apache/maven-doxia,master,Maven,org.apache.maven.doxia,doxia-module-markdown,2.1.1-SNAPSHOT,com.vladsch.flexmark,flexmark-util-ast,0.62.2,true,,Default,ALL
github.com,apache/maven-doxia,master,Maven,org.apache.maven.doxia,doxia-module-markdown,2.1.1-SNAPSHOT,com.vladsch.flexmark,flexmark-ext-abbreviation,0.62.2,true,,Default,ALL
github.com,apache/maven-doxia,master,Maven,org.apache.maven.doxia,doxia-module-markdown,2.1.1-SNAPSHOT,com.vladsch.flexmark,flexmark-ext-autolink,0.62.2,true,,Default,ALL
github.com,apache/maven-doxia,master,Maven,org.apache.maven.doxia,doxia-module-markdown,2.1.1-SNAPSHOT,com.vladsch.flexmark,flexmark-ext-definition,0.62.2,true,,Default,ALL
github.com,apache/maven-doxia,master,Maven,org.apache.maven.doxia,doxia-module-markdown,2.1.1-SNAPSHOT,com.vladsch.flexmark,flexmark-ext-escaped-character,0.62.2,true,,Default,ALL
github.com,apache/maven-doxia,master,Maven,org.apache.maven.doxia,doxia-module-markdown,2.1.1-SNAPSHOT,com.vladsch.flexmark,flexmark-ext-footnotes,0.62.2,true,,Default,ALL
github.com,apache/maven-doxia,master,Maven,org.apache.maven.doxia,doxia-module-markdown,2.1.1-SNAPSHOT,com.vladsch.flexmark,flexmark-ext-gfm-strikethrough,0.62.2,true,,Default,ALL
github.com,apache/maven-doxia,master,Maven,org.apache.maven.doxia,doxia-module-markdown,2.1.1-SNAPSHOT,com.vladsch.flexmark,flexmark-ext-tables,0.62.2,true,,Default,ALL
github.com,apache/maven-doxia,master,Maven,org.apache.maven.doxia,doxia-module-markdown,2.1.1-SNAPSHOT,com.vladsch.flexmark,flexmark-ext-typographic,0.62.2,true,,Default,ALL
github.com,apache/maven-doxia,master,Maven,org.apache.maven.doxia,doxia-module-markdown,2.1.1-SNAPSHOT,com.vladsch.flexmark,flexmark-ext-wikilink,0.62.2,true,,Default,ALL
