repositoryOrigin,repositoryPath,repositoryBranch,projectArtifactId,groupId,artifactId,version,relativePath
github.com,apache/maven-mvnd,master,maven-mvnd,org.apache.maven,maven-parent,40,
github.com,"apache/maven-shade-plugin",master,maven-shade-plugin,org.apache.maven.plugins,maven-plugins,40,
github.com,"apache/maven-scripting-plugin",master,maven-scripting-plugin,org.apache.maven.plugins,maven-plugins,39,"../../pom/maven/maven-plugins/pom.xml"
github.com,"apache/maven-stage-plugin",master,maven-stage-plugin,org.apache.maven.plugins,maven-plugins,34,"../../pom/maven/maven-plugins/pom.xml"
github.com,"apache/maven-linkcheck-plugin",master,maven-linkcheck-plugin,org.apache.maven.plugins,maven-plugins,34,
github.com,"apache/maven-common-artifact-filters",master,maven-common-artifact-filters,org.apache.maven.shared,maven-shared-components,37,
github.com,apache/maven-ear-plugin,master,maven-ear-plugin,org.apache.maven.plugins,maven-plugins,37,
github.com,"apache/maven-patch-plugin",master,maven-patch-plugin,org.apache.maven.plugins,maven-plugins,34,
github.com,"apache/maven-reporting-impl",master,maven-reporting-impl,org.apache.maven.shared,maven-shared-components,39,
github.com,apache/maven-resolver,master,maven-resolver,org.apache.maven,maven-parent,40,
github.com,"apache/maven-dependency-tree",master,maven-dependency-tree,org.apache.maven.shared,maven-shared-components,39,
github.com,apache/maven-doxia,master,maven-doxia,org.apache.maven,maven-parent,40,
github.com,apache/maven-filtering,master,maven-filtering,org.apache.maven.shared,maven-shared-components,39,
github.com,"apache/maven-project-info-reports-plugin",master,maven-project-info-reports-plugin,org.apache.maven.plugins,maven-plugins,39,
github.com,"apache/maven-shared-incremental",master,maven-shared-incremental,org.apache.maven.shared,maven-shared-components,37,
github.com,apache/maven-rar-plugin,master,maven-rar-plugin,org.apache.maven.plugins,maven-plugins,36,
github.com,"apache/maven-deploy-plugin",master,maven-deploy-plugin,org.apache.maven.plugins,maven-plugins,39,
github.com,apache/maven-jxr,master,maven-jxr,org.apache.maven,maven-parent,39,
