repositoryOrigin,repositoryPath,repositoryBranch,sourcePath,lineNumber,getCommitHash,operation,table,column
github.com,"spring-projects/spring-modulith",main,"spring-modulith-events/spring-modulith-events-jdbc/src/test/java/org/springframework/modulith/events/jdbc/JdbcEventPublicationRepositoryIntegrationTests.java",225,"7c2e8e407963661887e9a12552768f31dc0f4042",UPDATE,EVENT_PUBLICATION,EVENT_TYPE
github.com,"spring-projects/spring-modulith",main,"spring-modulith-events/spring-modulith-events-jpa/src/main/java/org/springframework/modulith/events/jpa/JpaEventPublicationRepository.java",43,"7c2e8e407963661887e9a12552768f31dc0f4042",SELECT,JpaEventPublication,p
github.com,"spring-projects/spring-modulith",main,"spring-modulith-events/spring-modulith-events-jpa/src/main/java/org/springframework/modulith/events/jpa/JpaEventPublicationRepository.java",51,"7c2e8e407963661887e9a12552768f31dc0f4042",SELECT,JpaEventPublication,p
github.com,"spring-projects/spring-modulith",main,"spring-modulith-events/spring-modulith-events-jpa/src/main/java/org/springframework/modulith/events/jpa/JpaEventPublicationRepository.java",59,"7c2e8e407963661887e9a12552768f31dc0f4042",DELETE,JpaEventPublication,
github.com,"spring-projects/spring-modulith",main,"spring-modulith-events/spring-modulith-events-jpa/src/test/java/org/springframework/modulith/events/jpa/JpaEventPublicationRepositoryIntegrationTests.java",198,"7c2e8e407963661887e9a12552768f31dc0f4042",SELECT,JpaEventPublication,p
github.com,"spring-projects/spring-data-couchbase",main,"src/test/java/org/springframework/data/couchbase/domain/CapellaConnectSample.java",118,"47999dcd714d6add455bd5f6af6f1e9cfb71e048",SELECT,"`%s`",name
github.com,"spring-projects/spring-boot-data-geode",main,"spring-geode-project/spring-geode/src/test/java/example/app/crm/config/TestCassandraConfiguration.java",150,"22362c6be737d6364fa1cfec3bde47b48ddbd16e",SELECT,"""Customers""",id
github.com,"spring-projects/spring-boot-data-geode",main,"spring-geode-project/spring-geode/src/test/java/example/app/crm/config/TestCassandraConfiguration.java",150,"22362c6be737d6364fa1cfec3bde47b48ddbd16e",SELECT,"""Customers""",name
github.com,"spring-projects/spring-security",main,"config/src/test/java/org/springframework/security/config/authentication/JdbcUserServiceBeanDefinitionParserTests.java",87,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",SELECT,users,username
github.com,"spring-projects/spring-security",main,"config/src/test/java/org/springframework/security/config/authentication/JdbcUserServiceBeanDefinitionParserTests.java",87,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",SELECT,users,password
github.com,"spring-projects/spring-security",main,"config/src/test/java/org/springframework/security/config/authentication/JdbcUserServiceBeanDefinitionParserTests.java",87,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",SELECT,users,true
github.com,"spring-projects/spring-security",main,"config/src/test/java/org/springframework/security/config/authentication/JdbcUserServiceBeanDefinitionParserTests.java",88,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",SELECT,authorities,username
github.com,"spring-projects/spring-security",main,"config/src/test/java/org/springframework/security/config/authentication/JdbcUserServiceBeanDefinitionParserTests.java",88,"7b2cb59dab767ea68becfcf5da4cef29fc2d4632",SELECT,authorities,authority
