repositoryOrigin,repositoryPath,repositoryBranch,scmType,repositoryLink,name,requestedVersion,version
github.com,Shpota/goxygen,main,GITHUB,"https://github.com/Shpota/goxygen/blob/main",axios,~1.2.1,
github.com,Shpota/goxygen,main,GITHUB,"https://github.com/Shpota/goxygen/blob/main",axios,^1.4.0,
github.com,artilleryio/artillery,main,GITHUB,"https://github.com/artilleryio/artillery/blob/main",faker,^5.5.3,
github.com,hexojs/hexo,master,GITHUB,"https://github.com/hexojs/hexo/blob/master",js-yaml,^4.1.0,
github.com,leon-ai/leon,develop,GITHUB,"https://github.com/leon-ai/leon/blob/develop",lodash,4.17.21,
github.com,discordjs/discord.js,main,GITHUB,"https://github.com/discordjs/discord.js/blob/main",lodash,~4.17.15,
github.com,chartjs/Chart.js,master,GITHUB,"https://github.com/chartjs/Chart.js/blob/master",moment,^2.29.4,
github.com,apostrophecms/apostrophe,main,GITHUB,"https://github.com/apostrophecms/apostrophe/blob/main",lodash,^4.17.21,
github.com,slackapi/node-slack-sdk,main,GITHUB,"https://github.com/slackapi/node-slack-sdk/blob/main",uuid,^8.3.2,
github.com,slackapi/node-slack-sdk,main,GITHUB,"https://github.com/slackapi/node-slack-sdk/blob/main",uuid,^8.3.2,
github.com,linnovate/mean,master,GITHUB,"https://github.com/linnovate/mean/blob/master",rxjs,^7.4.0,
github.com,vbenjs/vue-vben-admin,main,GITHUB,"https://github.com/vbenjs/vue-vben-admin/blob/main",axios,^1.7.3,
github.com,ardatan/graphql-tools,master,GITHUB,"https://github.com/ardatan/graphql-tools/blob/master",lodash,^4.17.20,
github.com,ardatan/graphql-tools,master,GITHUB,"https://github.com/ardatan/graphql-tools/blob/master",lodash,4.17.21,
github.com,faker-js/faker,next,GITHUB,"https://github.com/faker-js/faker/blob/next",validator,13.12.0,
github.com,pump-io/pump.io,master,GITHUB,"https://github.com/pump-io/pump.io/blob/master",uuid,^3.0.0,
github.com,"javascript-obfuscator/javascript-obfuscator",master,GITHUB,"https://github.com/javascript-obfuscator/javascript-obfuscator/blob/master",chance,1.1.9,
github.com,tumobi/nideshop,master,GITHUB,"https://github.com/tumobi/nideshop/blob/master",lodash,^4.17.4,
github.com,wasp-lang/wasp,main,GITHUB,"https://github.com/wasp-lang/wasp/blob/main",axios,^1.4.0,
github.com,wasp-lang/wasp,main,GITHUB,"https://github.com/wasp-lang/wasp/blob/main",axios,^1.4.0,
github.com,MauriceNino/dashdot,main,GITHUB,"https://github.com/MauriceNino/dashdot/blob/main",axios,1.6.5,
github.com,tremorlabs/tremor,main,GITHUB,"https://github.com/tremorlabs/tremor/blob/main",date-fns,^3.6.0,
github.com,"zalmoxisus/redux-devtools-extension",master,GITHUB,"https://github.com/zalmoxisus/redux-devtools-extension/blob/master",lodash,^4.17.2,
github.com,akveo/nebular,master,GITHUB,"https://github.com/akveo/nebular/blob/master",date-fns,^2.0.0,2.30.0
