repositoryOrigin,repositoryPath,repositoryBranch,scmType,repositoryLink,sourcePath,className,lineCount,methodCount,fieldCount,wmc,lcom4,tcc,cbo,maintainabilityIndex
github.com,SAP/scimono,master,GITHUB,"https://github.com/SAP/scimono/blob/master","scimono-server/src/main/java/com/sap/scimono/entity/paging/PagedByIdentitySearchResult.java","com.sap.scimono.entity.paging.PagedByIdentitySearchResult",32,4,4,4,1,0.3333333333333333,2,70.79893287842809
github.com,SAP/scimono,master,GITHUB,"https://github.com/SAP/scimono/blob/master","scimono-server/src/main/java/com/sap/scimono/entity/paging/PagedByIndexSearchResult.java","com.sap.scimono.entity.paging.PagedByIndexSearchResult",82,7,8,7,2,0.19047619047619047,2,68.35066687622235
github.com,SAP/scimono,master,GITHUB,"https://github.com/SAP/scimono/blob/master","scimono-server/src/main/java/com/sap/scimono/entity/paging/PagedResult.java","com.sap.scimono.entity.paging.PagedResult",33,6,3,6,1,0.3333333333333333,1,76.95802835351903
github.com,SAP/scimono,master,GITHUB,"https://github.com/SAP/scimono/blob/master","scimono-server/src/main/java/com/sap/scimono/entity/patch/PatchBody.java","com.sap.scimono.entity.patch.PatchBody",133,7,5,16,1,0.7142857142857143,4,59.56077647654325
github.com,SAP/scimono,master,GITHUB,"https://github.com/SAP/scimono/blob/master","scimono-server/src/main/java/com/sap/scimono/entity/patch/PatchOperation.java","com.sap.scimono.entity.patch.PatchOperation",129,5,3,6,1,0.7,2,60.13499408325363
github.com,SAP/scimono,master,GITHUB,"https://github.com/SAP/scimono/blob/master","scimono-server/src/main/java/com/sap/scimono/entity/schema/Attribute.java","com.sap.scimono.entity.schema.Attribute",377,19,15,33,1,0.42105263157894735,5,57.36759375361734
github.com,SAP/scimono,master,GITHUB,"https://github.com/SAP/scimono/blob/master","scimono-server/src/main/java/com/sap/scimono/entity/schema/AttributeDataType.java","com.sap.scimono.entity.schema.AttributeDataType",31,3,1,5,1,0.3333333333333333,2,68.27438162708572
github.com,SAP/scimono,master,GITHUB,"https://github.com/SAP/scimono/blob/master","scimono-server/src/main/java/com/sap/scimono/entity/schema/ResourceType.java","com.sap.scimono.entity.schema.ResourceType",197,11,8,18,3,0.4727272727272727,3,59.91011457582394
github.com,SAP/scimono,master,GITHUB,"https://github.com/SAP/scimono/blob/master","scimono-server/src/main/java/com/sap/scimono/entity/schema/Schema.java","com.sap.scimono.entity.schema.Schema",179,11,7,16,3,0.5636363636363636,8,60.73026209216953
github.com,SAP/scimono,master,GITHUB,"https://github.com/SAP/scimono/blob/master","scimono-server/src/main/java/com/sap/scimono/entity/schema/SchemaExtension.java","com.sap.scimono.entity.schema.SchemaExtension",52,5,3,9,1,0.9,2,65.7292581585454
github.com,SAP/scimono,master,GITHUB,"https://github.com/SAP/scimono/blob/master","scimono-server/src/main/java/com/sap/scimono/entity/schema/resources/SchemaCSVReader.java","com.sap.scimono.entity.schema.resources.SchemaCSVReader",155,9,5,18,2,0.027777777777777776,26,55.59481525664705
github.com,SAP/scimono,master,GITHUB,"https://github.com/SAP/scimono/blob/master","scimono-server/src/main/java/com/sap/scimono/entity/schema/validation/CoreSchemaValidator.java","com.sap.scimono.entity.schema.validation.CoreSchemaValidator",15,2,1,3,1,1.0,2,71.4148066364203
github.com,SAP/scimono,master,GITHUB,"https://github.com/SAP/scimono/blob/master","scimono-server/src/main/java/com/sap/scimono/entity/schema/validation/CustomInputValidator.java","com.sap.scimono.entity.schema.validation.CustomInputValidator",9,1,0,1,1,1.0,0,79.0496852907329
github.com,SAP/scimono,master,GITHUB,"https://github.com/SAP/scimono/blob/master","scimono-server/src/main/java/com/sap/scimono/entity/schema/validation/EmailsValidator.java","com.sap.scimono.entity.schema.validation.EmailsValidator",20,2,1,4,1,1.0,4,65.23668752102134
github.com,SAP/scimono,master,GITHUB,"https://github.com/SAP/scimono/blob/master","scimono-server/src/main/java/com/sap/scimono/entity/schema/validation/SchemaIdValidator.java","com.sap.scimono.entity.schema.validation.SchemaIdValidator",47,6,1,13,1,0.0,5,67.86503991570409
github.com,SAP/scimono,master,GITHUB,"https://github.com/SAP/scimono/blob/master","scimono-server/src/main/java/com/sap/scimono/entity/schema/validation/SchemaValidator.java","com.sap.scimono.entity.schema.validation.SchemaValidator",82,8,1,22,1,0.0,10,64.22137837507536
github.com,SAP/scimono,master,GITHUB,"https://github.com/SAP/scimono/blob/master","scimono-server/src/main/java/com/sap/scimono/entity/schema/validation/StartIdValidator.java","com.sap.scimono.entity.schema.validation.StartIdValidator",44,5,2,14,1,0.1,8,65.61337263033016
github.com,SAP/scimono,master,GITHUB,"https://github.com/SAP/scimono/blob/master","scimono-server/src/main/java/com/sap/scimono/entity/schema/validation/ValidCoreSchema.java","com.sap.scimono.entity.schema.validation.ValidCoreSchema",15,4,0,4,4,0.0,0,87.34359964461194
github.com,SAP/scimono,master,GITHUB,"https://github.com/SAP/scimono/blob/master","scimono-server/src/main/java/com/sap/scimono/entity/schema/validation/ValidCoreSchemas.java","com.sap.scimono.entity.schema.validation.ValidCoreSchemas",8,1,0,1,1,1.0,0,80.16552457589864
github.com,SAP/scimono,master,GITHUB,"https://github.com/SAP/scimono/blob/master","scimono-server/src/main/java/com/sap/scimono/entity/schema/validation/ValidEmails.java","com.sap.scimono.entity.schema.validation.ValidEmails",12,3,0,3,3,0.0,0,86.73218207594023
github.com,SAP/scimono,master,GITHUB,"https://github.com/SAP/scimono/blob/master","scimono-server/src/main/java/com/sap/scimono/entity/schema/validation/ValidSchema.java","com.sap.scimono.entity.schema.validation.ValidSchema",12,3,0,3,3,0.0,0,86.73218207594023
github.com,SAP/scimono,master,GITHUB,"https://github.com/SAP/scimono/blob/master","scimono-server/src/main/java/com/sap/scimono/entity/schema/validation/ValidSchemaId.java","com.sap.scimono.entity.schema.validation.ValidSchemaId",12,3,0,3,3,0.0,0,86.73218207594023
github.com,SAP/scimono,master,GITHUB,"https://github.com/SAP/scimono/blob/master","scimono-server/src/main/java/com/sap/scimono/entity/schema/validation/ValidStartId.java","com.sap.scimono.entity.schema.validation.ValidStartId",12,3,0,3,3,0.0,0,86.73218207594023
github.com,SAP/scimono,master,GITHUB,"https://github.com/SAP/scimono/blob/master","scimono-server/src/main/java/com/sap/scimono/entity/validation/AttributeDataTypeValidator.java","com.sap.scimono.entity.validation.AttributeDataTypeValidator",80,6,4,26,1,0.13333333333333333,9,60.45265820240246
github.com,SAP/scimono,master,GITHUB,"https://github.com/SAP/scimono/blob/master","scimono-server/src/main/java/com/sap/scimono/entity/validation/AttributeImmutableValueValidator.java","com.sap.scimono.entity.validation.AttributeImmutableValueValidator",11,1,0,2,1,1.0,6,63.357390385944505
