repositoryOrigin,repositoryPath,repositoryBranch,sourcePath,language,sourceFileType,linesOfText,hasParseFailures
github.com,apache/servicemix-archetypes,trunk,servicemix-bean-service-unit/src/main/resources/META-INF/maven/archetype.xml,Xml,org.openrewrite.xml.tree.Xml$Document,27,FALSE
github.com,apache/servicemix-archetypes,trunk,servicemix-bean-service-unit/src/main/resources/archetype-resources/pom.xml,Xml,org.openrewrite.xml.tree.Xml$Document,88,FALSE
github.com,apache/servicemix-archetypes,trunk,servicemix-bean-service-unit/src/main/resources/archetype-resources/src/main/resources/xbean.xml,Xml,org.openrewrite.xml.tree.Xml$Document,54,FALSE
github.com,apache/servicemix-archetypes,trunk,servicemix-camel-service-unit/pom.xml,Xml,org.openrewrite.xml.tree.Xml$Document,50,FALSE
github.com,apache/servicemix-archetypes,trunk,servicemix-camel-service-unit/src/main/resources/archetype-resources/src/main/java/MyRouteBuilder.java,Java,org.openrewrite.java.tree.J$CompilationUnit,14,FALSE
github.com,apache/servicemix-archetypes,trunk,servicemix-camel-service-unit/src/main/resources/META-INF/maven/archetype.xml,Xml,org.openrewrite.xml.tree.Xml$Document,27,FALSE
github.com,apache/servicemix-archetypes,trunk,servicemix-camel-service-unit/src/main/resources/archetype-resources/pom.xml,Xml,org.openrewrite.xml.tree.Xml$Document,101,FALSE
github.com,apache/servicemix-archetypes,trunk,servicemix-camel-service-unit/src/main/resources/archetype-resources/src/main/resources/camel-context.xml,Xml,org.openrewrite.xml.tree.Xml$Document,52,FALSE
github.com,apache/servicemix-archetypes,trunk,servicemix-file-service-unit/pom.xml,Xml,org.openrewrite.xml.tree.Xml$Document,37,FALSE
github.com,apache/servicemix-archetypes,trunk,servicemix-file-service-unit/src/main/resources/META-INF/maven/archetype.xml,Xml,org.openrewrite.xml.tree.Xml$Document,24,FALSE
