repositoryOrigin,repositoryPath,repositoryBranch,buildToolType,buildToolVersion,lstSerializerVersion,timestampEpochMillis,timestampUtc
github.com,"spring-cloud/spring-cloud-stream",main,Maven,1.7.1,1.33.1,1691868379467,"2023-08-12T19:26:19.467851754Z"
github.com,"spring-cloud/spring-cloud-stream",main,Maven,1.7.1,1.33.1,1691867454419,"2023-08-12T19:10:54.419887153Z"
github.com,"spring-cloud/spring-cloud-stream",main,Maven,1.7.1,1.33.1,1691867405558,"2023-08-12T19:10:05.558899543Z"
github.com,"spring-cloud/spring-cloud-stream",main,Maven,1.7.1,1.33.1,1691868721033,"2023-08-12T19:32:01.033072797Z"
github.com,"spring-cloud/spring-cloud-stream",main,Maven,1.7.1,1.33.1,1691868105507,"2023-08-12T19:21:45.507024814Z"
github.com,"spring-cloud/spring-cloud-stream",main,Maven,1.7.1,1.33.1,1691869118624,"2023-08-12T19:38:38.624132085Z"
github.com,"spring-cloud/spring-cloud-stream",main,Maven,1.7.1,1.33.1,1691869009910,"2023-08-12T19:36:49.910867386Z"
github.com,"spring-cloud/spring-cloud-stream",main,Maven,1.7.1,1.33.1,1691869259941,"2023-08-12T19:40:59.941748715Z"
github.com,"spring-cloud/spring-cloud-stream",main,Maven,1.7.1,1.33.1,1691869310041,"2023-08-12T19:41:50.041176269Z"
github.com,"spring-cloud/spring-cloud-stream",main,Maven,1.7.1,1.33.1,1691868706028,"2023-08-12T19:31:46.028413120Z"
github.com,"spring-cloud/spring-cloud-stream",main,Maven,1.7.1,1.33.1,1691867666048,"2023-08-12T19:14:26.048732268Z"
github.com,"spring-cloud/spring-cloud-stream",main,Maven,1.7.1,1.33.1,1691867629433,"2023-08-12T19:13:49.433165170Z"
github.com,"spring-cloud/spring-cloud-stream",main,Maven,1.7.1,1.33.1,1691869363239,"2023-08-12T19:42:43.239280114Z"
github.com,"spring-cloud/spring-cloud-stream",main,Maven,1.7.1,1.33.1,1691869204298,"2023-08-12T19:40:04.298893028Z"
github.com,"spring-cloud/spring-cloud-stream",main,Maven,1.7.1,1.33.1,1691867290209,"2023-08-12T19:08:10.209794877Z"
github.com,"spring-cloud/spring-cloud-stream",main,Maven,1.7.1,1.33.1,1691868528535,"2023-08-12T19:28:48.535278839Z"
github.com,"spring-cloud/spring-cloud-stream",main,Maven,1.7.1,1.33.1,1691868838405,"2023-08-12T19:33:58.405449757Z"
github.com,"spring-cloud/spring-cloud-stream",main,Maven,1.7.1,1.33.1,1691868883860,"2023-08-12T19:34:43.860435429Z"
github.com,"spring-cloud/spring-cloud-stream",main,Maven,1.7.1,1.33.1,1691867323036,"2023-08-12T19:08:43.036384530Z"
github.com,"spring-cloud/spring-cloud-stream",main,Maven,1.7.1,1.33.1,1691868616817,"2023-08-12T19:30:16.817858617Z"
github.com,"spring-cloud/spring-cloud-stream",main,Maven,1.7.1,1.33.1,1691867169547,"2023-08-12T19:06:09.547717221Z"
github.com,"spring-cloud/spring-cloud-bus",main,Maven,1.7.1,1.33.1,1691861449005,"2023-08-12T17:30:49.005487534Z"
github.com,"spring-cloud/spring-cloud-bus",main,Maven,1.7.1,1.33.1,1691860960259,"2023-08-12T17:22:40.259504251Z"
github.com,"spring-cloud/spring-cloud-bus",main,Maven,1.7.1,1.33.1,1691861189185,"2023-08-12T17:26:29.185980168Z"
github.com,"spring-cloud/spring-cloud-bus",main,Maven,1.7.1,1.33.1,1691861385268,"2023-08-12T17:29:45.268245906Z"
github.com,"spring-cloud/spring-cloud-bus",main,Maven,1.7.1,1.33.1,1691861365776,"2023-08-12T17:29:25.776455814Z"
github.com,"spring-cloud/spring-cloud-bus",main,Maven,1.7.1,1.33.1,1691861288112,"2023-08-12T17:28:08.112922466Z"
github.com,"spring-cloud/spring-cloud-bus",main,Maven,1.7.1,1.33.1,1691861333578,"2023-08-12T17:28:53.578141106Z"
github.com,"spring-cloud/spring-cloud-bus",main,Maven,1.7.1,1.33.1,1691861429912,"2023-08-12T17:30:29.912253297Z"
github.com,"spring-cloud/spring-cloud-bus",main,Maven,1.7.1,1.33.1,1691861413236,"2023-08-12T17:30:13.236155580Z"
github.com,Netflix/eureka,master,Gradle,1.2.6,1.33.1,1691857977891,2023-08-12T16:32:57.891Z
