repositoryOrigin,repositoryPath,repositoryBranch,dependent,dependentType,action,dependency,dependencyType,dependencyMissing,actionMetadata
github.com,moderneinc/cobol-samples,main,IC109A,COBOL,CALL,IC110A,COBOL,false,
github.com,moderneinc/cobol-samples,main,EXEC_SQL_CREATE,COBOL,ACCESS,EXEC_SQL_CREATE_TBL,SQL_TABLE,false,CREATE
github.com,moderneinc/cobol-samples,main,EXEC_SQL_CREATE_CURSOR,SQL_CURSOR,ACCESS,EXEC_SQL_CREATE_TBL,SQL_TABLE,false,READ
github.com,moderneinc/cobol-samples,main,EXEC_SQL_CREATE,COBOL,ACCESS,EXEC_SQL_CREATE_CURSOR,SQL_CURSOR,false,CREATE
github.com,moderneinc/cobol-samples,main,EXEC_SQL_CREATE,COBOL,INCLUDE,SQL_TBL,COPYBOOK,false,
github.com,moderneinc/cobol-samples,main,SM207A,COBOL,COPY,ALTLB,COPYBOOK,false,
github.com,moderneinc/cobol-samples,main,IC216A,COBOL,CALL,IC217A,COBOL,false,
github.com,moderneinc/cobol-samples,main,OBIC1A,COBOL,CALL,OBIC2A,COBOL,false,
github.com,moderneinc/cobol-samples,main,OBIC1A,COBOL,CALL,OBIC3A,COBOL,false,
github.com,moderneinc/cobol-samples,main,IC227A,COBOL,CALL,IC227A-1,COBOL,false,
github.com,moderneinc/cobol-samples,main,EXEC_SQL_UPDATE,COBOL,INCLUDE,SQL_TBL,COPYBOOK,false,
github.com,moderneinc/cobol-samples,main,EXEC_SQL_UPDATE,COBOL,ACCESS,SQL_TBL,SQL_TABLE,false,UPDATE
github.com,moderneinc/cobol-samples,main,EXEC_SQL_UPDATE,COBOL,ACCESS,SQL_TBL,SQL_TABLE,false,INSERT
github.com,moderneinc/cobol-samples,main,SM105A,COBOL,COPY,K5SDA,COPYBOOK,false,
github.com,moderneinc/cobol-samples,main,SM105A,COBOL,COPY,K501A,COPYBOOK,false,
github.com,moderneinc/cobol-samples,main,IC117M,COBOL,CALL,IC118M,COBOL,false,
github.com,moderneinc/cobol-samples,main,IC114A,COBOL,CALL,IC115A,COBOL,false,
github.com,moderneinc/cobol-samples,main,IC116M,COBOL,CALL,IC117M,COBOL,false,
github.com,moderneinc/cobol-samples,main,SM201A,COBOL,COPY,K1FDA,COPYBOOK,false,
github.com,moderneinc/cobol-samples,main,SM201A,COBOL,COPY,K101A,COPYBOOK,false,
github.com,moderneinc/cobol-samples,main,SM201A,COBOL,COPY,K1WKA,COPYBOOK,false,
github.com,moderneinc/cobol-samples,main,SM201A,COBOL,COPY,K1WKB,COPYBOOK,false,
github.com,moderneinc/cobol-samples,main,SM201A,COBOL,COPY,K1PRB,COPYBOOK,false,
github.com,moderneinc/cobol-samples,main,IC103A,COBOL,CALL,IC105A,COBOL,false,
github.com,moderneinc/cobol-samples,main,IC103A,COBOL,CALL,IC104A,COBOL,false,
github.com,moderneinc/cobol-samples,main,EXEC_SQL_READ,COBOL,ACCESS,EXEC_SQL_READ_TBL,SQL_TABLE,false,CREATE
github.com,moderneinc/cobol-samples,main,EXEC_SQL_READ,COBOL,INCLUDE,SQL_TBL,COPYBOOK,false,
github.com,moderneinc/cobol-samples,main,EXEC_SQL_READ,COBOL,ACCESS,SQL_TBL,SQL_TABLE,false,READ
github.com,moderneinc/cobol-samples,main,EXEC_SQL_READ,COBOL,ACCESS,EXEC_SQL_READ_TBL,SQL_TABLE,false,READ
github.com,moderneinc/cobol-samples,main,"EXEC_SQL_READ_DECLARED_TABLE_CURSOR",SQL_CURSOR,ACCESS,EXEC_SQL_READ_TBL,SQL_TABLE,false,READ
github.com,moderneinc/cobol-samples,main,EXEC_SQL_READ,COBOL,ACCESS,"EXEC_SQL_READ_DECLARED_TABLE_CURSOR",SQL_CURSOR,false,CREATE
github.com,moderneinc/cobol-samples,main,"EXEC_SQL_READ_INCLUDED_TABLE_CURSOR",SQL_CURSOR,ACCESS,SQL_TBL,COPYBOOK,false,READ
github.com,moderneinc/cobol-samples,main,EXEC_SQL_READ,COBOL,ACCESS,"EXEC_SQL_READ_INCLUDED_TABLE_CURSOR",SQL_CURSOR,false,CREATE
github.com,moderneinc/cobol-samples,main,EXEC_SQL_READ,COBOL,ACCESS,"EXEC_SQL_READ_INCLUDED_TABLE_CURSOR",SQL_CURSOR,false,READ
github.com,moderneinc/cobol-samples,main,EXEC_SQL_READ,COBOL,ACCESS,"EXEC_SQL_READ_DECLARED_TABLE_CURSOR",SQL_CURSOR,false,READ
github.com,moderneinc/cobol-samples,main,IC210A,COBOL,CALL,IC211A,COBOL,false,
github.com,moderneinc/cobol-samples,main,IC210A,COBOL,CALL,IC212A,COBOL,false,
github.com,moderneinc/cobol-samples,main,SQL_TBL,COPYBOOK,ACCESS,SQL_TBL,SQL_TABLE,false,CREATE
github.com,moderneinc/cobol-samples,main,SQL_TBL,COPYBOOK,ACCESS,SQL_TBL,SQL_TABLE,false,READ
github.com,moderneinc/cobol-samples,main,SQL_TBL,COPYBOOK,ACCESS,SQL_TBL,SQL_TABLE,false,UPDATE
github.com,moderneinc/cobol-samples,main,SQL_TBL,COPYBOOK,ACCESS,SQL_TBL,SQL_TABLE,false,INSERT
github.com,moderneinc/cobol-samples,main,SQL_TBL,COPYBOOK,ACCESS,SQL_TBL,SQL_TABLE,false,DELETE
github.com,moderneinc/cobol-samples,main,CURSOR_FROM_SQL_TBL,SQL_CURSOR,ACCESS,SQL_TBL,SQL_TABLE,false,READ
github.com,moderneinc/cobol-samples,main,SQL_TBL,COPYBOOK,ACCESS,CURSOR_FROM_SQL_TBL,SQL_CURSOR,false,CREATE
github.com,moderneinc/cobol-samples,main,SQL_TBL,COPYBOOK,ACCESS,CURSOR_FROM_SQL_TBL,SQL_CURSOR,false,READ
github.com,moderneinc/cobol-samples,main,BINDCARDPACKAGE,BINDPACKAGE,MEMBER,IC201A,COBOL,false,
github.com,moderneinc/cobol-samples,main,BINDCARDPLAN,BINDPLAN,PLAN,LINKEDIT1,LINKEDIT,false,
github.com,moderneinc/cobol-samples,main,LINKEDIT1,LINKEDIT,INCLUDE,IC201A,COBOL,false,
github.com,moderneinc/cobol-samples,main,EXEC_SQL_DELETE,COBOL,INCLUDE,SQL_TBL,COPYBOOK,false,
github.com,moderneinc/cobol-samples,main,EXEC_SQL_DELETE,COBOL,ACCESS,SQL_TBL,SQL_TABLE,false,DELETE
github.com,moderneinc/cobol-samples,main,IC222A,COBOL,CALL,IC222A-1,COBOL,false,
github.com,moderneinc/cobol-samples,main,IC222A,COBOL,CALL,XXXXXXXX,COBOL,false,
github.com,moderneinc/cobol-samples,main,IC234A,COBOL,CALL,IC234A-1,COBOL,false,
github.com,moderneinc/cobol-samples,main,IC234A-1,COBOL,CALL,IC234A-2,COBOL,false,
github.com,moderneinc/cobol-samples,main,IC234A-2,COBOL,CALL,IC234A-3,COBOL,false,
github.com,moderneinc/cobol-samples,main,SM205A,COBOL,COPY,K5SDB,COPYBOOK,false,
github.com,moderneinc/cobol-samples,main,SM205A,COBOL,COPY,K501B,COPYBOOK,false,
